Dates,Google,Meta,JPM
2015-07-23,33.737,95.44,69.64
2015-07-24,32.739,96.95,68.91
2015-07-27,32.914,94.17,68.01
2015-07-28,32.983,95.29,68.05
2015-07-29,33.072,96.99,68.94
2015-07-30,33.228,95.21,69.04
2015-07-31,32.875,94.01,68.53
2015-08-03,33.236,94.14,68.53
2015-08-04,33.064,94.06,68.46
2015-08-05,33.665,96.44,68.73
2015-08-06,33.508,95.12,68.25
2015-08-07,33.22,94.3,68.05
2015-08-10,33.157,94.15,68.89
2015-08-11,34.515,93.62,68.23
2015-08-12,34.574,94.19,67.24
2015-08-13,34.326,93.43,67.55
2015-08-14,34.469,94.42,67.89
2015-08-17,34.706,93.93,68.07
2015-08-18,34.437,95.17,68.21
2015-08-19,34.702,95.31,67.6
2015-08-20,33.974,90.56,65.94
2015-08-21,32.201,86.06,63.6
2015-08-24,30.906,82.09,60.25
2015-08-25,30.624,83,59.91
2015-08-26,32.987,87.19,62.91
2015-08-27,33.398,89.73,64.48
2015-08-28,32.985,91.01,64.13
2015-08-31,32.391,89.43,64.1
2015-09-01,31.478,87.23,61.45
2015-09-02,32.246,89.89,62.57
2015-09-03,31.853,88.15,62.68
2015-09-04,31.448,88.26,61.5
2015-09-07,31.448,88.26,61.5
2015-09-08,32.194,89.53,63.16
2015-09-09,32.17,90.44,62.18
2015-09-10,32.554,91.98,62.66
2015-09-11,32.765,92.05,62.56
2015-09-14,32.624,92.31,62.38
2015-09-15,33.254,92.9,63.58
2015-09-16,33.276,93.45,64.14
2015-09-17,33.584,94.34,62.65
2015-09-18,33.046,94.4,60.94
2015-09-21,33.349,95.55,61.45
2015-09-22,32.66,92.96,60.91
2015-09-23,32.664,93.97,60.64
2015-09-24,32.746,94.41,60.22
2015-09-25,32.008,92.77,61.47
2015-09-28,31.213,89.21,59.98
2015-09-29,31.131,86.67,59.84
2015-09-30,31.919,89.9,60.97
2015-10-01,32.1,90.95,61.42
2015-10-02,32.85,92.07,60.81
2015-10-05,33.584,94.01,62.02
2015-10-06,33.582,92.8,62.05
2015-10-07,33.5,92.4,62.13
2015-10-08,33.35,92.47,62.13
2015-10-09,33.562,93.24,61.93
2015-10-12,33.822,94.26,61.72
2015-10-13,34.159,94.12,61.55
2015-10-14,34.021,94.07,59.99
2015-10-15,34.651,95.96,61.89
2015-10-16,34.766,97.54,62.43
2015-10-19,34.998,98.47,62.22
